n_qubits,depth,entanglement_topology,cost_type,encoding_type,param_index,layer_id,param_grad_variance_across_seeds,log10_param_grad_variance
4,4,linear,global,angle,32,2,3.2793673790629996e-05,-4.484209927715366
4,4,linear,global,angle,33,2,5.9307431357297876e-05,-4.226890885130528
4,4,linear,global,angle,34,2,7.925611883305257e-05,-4.100967198853445
4,4,linear,global,angle,35,2,4.1781739657753854e-05,-4.379013481348676
4,4,linear,global,angle,36,3,5.080369605923255e-05,-4.294104690870839
4,4,linear,global,angle,37,3,5.413456292130539e-05,-4.266525365334087
4,4,linear,global,angle,38,3,4.9549531422864816e-05,-4.304960448170156
4,4,linear,global,angle,39,3,5.7688926145691395e-05,-4.238907545169804
4,4,linear,global,angle,40,3,6.191854209761841e-05,-4.208179277880936
4,4,linear,global,angle,41,3,8.969739553879354e-05,-4.047220166984353
4,4,linear,global,angle,42,3,5.378352376945345e-05,-4.269350747231805
4,4,linear,global,angle,43,3,8.50935833570244e-05,-4.070103187479486
4,4,linear,global,angle,44,3,5.37952592605785e-05,-4.269255995108483
4,4,linear,global,angle,45,3,7.0723257059474e-05,-4.150437746716924
4,4,linear,global,angle,46,3,6.541207200299129e-05,-4.184342093870429
4,4,linear,global,angle,47,3,4.815088553702475e-05,-4.3173957214095005
4,4,circular,local,angle,0,0,0.00023882536386801812,-3.621919551902099
4,4,circular,local,angle,1,0,0.00027324742391522563,-3.5634439237412097
4,4,circular,local,angle,2,0,0.00035721339340882597,-3.4470722659803
4,4,circular,local,angle,3,0,0.0003286447221670839,-3.483273337830949
4,4,circular,local,angle,4,0,0.0004776032612459803,-3.3209327163504256
4,4,circular,local,angle,5,0,0.00033436882307228056,-3.47577422345459
4,4,circular,local,angle,6,0,0.00027728825691856996,-3.5570685222845797
4,4,circular,local,angle,7,0,0.00033550173349811336,-3.4743052315405327
4,4,circular,local,angle,8,0,0.00021671176630508326,-3.664117508141911
4,4,circular,local,angle,9,0,0.0003539882444406193,-3.4510111601757423
4,4,circular,local,angle,10,0,0.00023947689328758726,-3.6207363845534504
4,4,circular,local,angle,11,0,0.0003114013926831647,-3.506679449464556
4,4,circular,local,angle,12,1,0.0003263260206265989,-3.486348295001611
