benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,grad_value,abs_grad,is_near_zero
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,3,RX,0,9,layer_000_wire_003_RX,0.06142201014981563,0.06142201014981563,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,3,RY,1,10,layer_000_wire_003_RY,0.3236359281285869,0.3236359281285869,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,0,3,RZ,2,11,layer_000_wire_003_RZ,2.0448601169521252e-18,2.0448601169521252e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,0,RX,0,0,layer_000_wire_000_RX,5.312590645178972e-18,5.312590645178972e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,0,RY,1,1,layer_000_wire_000_RY,-8.673617379884035e-18,8.673617379884035e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,0,RZ,2,2,layer_000_wire_000_RZ,-9.718279817214752e-18,9.718279817214752e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,1,RX,0,3,layer_000_wire_001_RX,-0.002611350520481852,0.002611350520481852,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,1,RY,1,4,layer_000_wire_001_RY,-0.01908316988775501,0.01908316988775501,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,1,RZ,2,5,layer_000_wire_001_RZ,1.173557170411484e-17,1.173557170411484e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,2,RX,0,6,layer_000_wire_002_RX,1.3444106938820255e-17,1.3444106938820255e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,2,RY,1,7,layer_000_wire_002_RY,-1.214306433183765e-17,1.214306433183765e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,2,RZ,2,8,layer_000_wire_002_RZ,8.580087725166084e-18,8.580087725166084e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,3,RX,0,9,layer_000_wire_003_RX,0.0013661847613410136,0.0013661847613410136,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,3,RY,1,10,layer_000_wire_003_RY,-0.35379449517884465,0.35379449517884465,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,0,3,RZ,2,11,layer_000_wire_003_RZ,3.651826788085742e-18,3.651826788085742e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,8,2,0,0,RX,0,0,layer_000_wire_000_RX,-1.1102230246251565e-16,1.1102230246251565e-16,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,8,2,0,0,RY,1,1,layer_000_wire_000_RY,-1.1102230246251565e-16,1.1102230246251565e-16,True
