benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,0.058270841390504535,0.0258022704900718,0.10205266246326482,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,4.216376929737104e-17,1.6745683518279191e-34,4.216376929737105e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,1.402234809747919e-17,5.8790390799125344e-33,5.363186746561629e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,-2.8767497643282055e-17,2.4514856320108752e-33,3.7730235602495554e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,same_entangling_gate_count,0,3,RZ,2,11,layer_000_wire_003_RZ,3,-2.2689720945006028e-18,3.486215949271055e-34,1.3482498114593574e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,2.949029909160572e-17,1.1405116389418162e-33,3.5272710678195076e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,1.734723475976807e-17,3.2500067811534605e-34,1.9660199394403815e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,1.6207009751301275e-17,1.0097476245451329e-33,2.9165975951388505e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,0.031249060551457035,0.010254275599855197,0.06685796416577315,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,4,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,0.059134402300782575,0.09777216674858674,0.2541842298715262,0.0
