benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,19,3,0.004241810773038363,4.110184806115065e-05,0.039252698027483955,0.019522510762170153,6.162329688456122e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,19,4,0.0035747375380813596,3.316692340352717e-05,0.03548555637034854,0.01980595264783651,2.744629236814531e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,19,5,0.003340303481670996,2.1422193472867575e-05,0.028535858986391206,0.013089109126539364,0.00035692207792551063,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,19,6,0.004121708194267706,4.133840764621912e-05,0.03861325904284026,0.01928008377315442,1.1396243370252838e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,19,7,0.0024033682981122093,2.178404497590271e-05,0.028585547524397813,0.021556622714114123,1.497119980852308e-19,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,20,0,0.0037701625297893995,2.7601049282162883e-05,0.031652843747977756,0.012368687142789334,1.4270304557108954e-06,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,20,1,0.0035660422454785973,2.6282409348878338e-05,0.030833751905145295,0.020008453319605164,1.4158631236273114e-06,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,20,2,0.0030181224174167585,1.5349995148011957e-05,0.024939330796981886,0.010588546810471548,7.427181142188096e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,20,3,0.0032630247187677903,1.823001230363306e-05,0.025817104531155148,0.01191624616682431,0.00020822208813495088,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,20,4,0.00345087299081595,1.965090556063047e-05,0.026597654066297438,0.009685943832254813,6.117299106456111e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,20,5,0.0034176845345878556,1.8423556479703283e-05,0.02599884891337705,0.009713440481233343,2.2262506676304535e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,20,6,0.00298570133515412,1.6316609079545278e-05,0.02526213543627636,0.011684907801324716,0.0001527231639895637,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,8,8,88,88,11,20,7,0.0019906339719593614,1.5773355818199174e-05,0.025177177640170377,0.015567843675075174,9.755474584912206e-20,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,21,0,0.007453324533085109,8.703651281001925e-05,0.05601055777478079,0.030894481589436112,0.0007403696883540433,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,21,1,0.007408921825789189,9.090333531189681e-05,0.05776528231812119,0.02679318563539953,0.0003521470786360456,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,21,2,0.006696056637903915,6.461523747133803e-05,0.04866209028079769,0.017487014988482548,0.0010007699904071672,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,21,3,0.007189424063172422,8.804263860950498e-05,0.05893378725928879,0.026256296849097062,0.00034723272094077,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,21,4,0.009304478077806991,0.00013481451472830406,0.06969776803615353,0.03236917422916997,0.0008879309849834649,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,21,5,0.008524770889957902,0.00011550842870699244,0.06463212963034697,0.029807958369031093,0.0002311331091671507,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,21,6,0.0063592541438918454,6.730407337704541e-05,0.04944664641773697,0.020478611712135563,2.025189739511521e-18,0.027777777777777776
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,21,7,0.0029342093761883744,3.527974553006483e-05,0.037430430274748114,0.023441835823296963,2.168404344971009e-19,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,22,0,0.008342153437283775,0.00010328459215139233,0.061840166586636026,0.024777131512052047,0.00026973113901549535,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,22,1,0.008127505715574846,0.00011369351838624225,0.0640145726250854,0.028091472111480373,9.917839622389189e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,22,2,0.01044679068277594,0.00014675995677693177,0.07389101074140958,0.0269568659148852,0.000333392917599859,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,22,3,0.008257416883464616,0.00011021860433803055,0.06368327655855291,0.024552433345396543,5.022192351238037e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,22,4,0.00870202840359217,0.0001090086752874027,0.06269097090134501,0.02192794090855797,0.0006303660652378792,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,22,5,0.010021557400891801,0.0001289698537555377,0.07142295220934969,0.02407993031862414,0.0007430482975027608,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,22,6,0.008328508108079157,0.00011363477088999114,0.06411511785679626,0.02909407753479915,3.574808169629019e-18,0.027777777777777776
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,22,7,0.003709756914306487,5.99423324145611e-05,0.04691303688817278,0.02262878941454645,0.0,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,23,0,0.0064487423362762294,6.049313542343376e-05,0.04826920864529211,0.023119662601142822,8.462791011485575e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,23,1,0.007573562993164134,0.00011824461560318163,0.06565025990494348,0.03149331540181147,0.00034044626170741474,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,23,2,0.006634339249408466,7.111560471038313e-05,0.05137135367062851,0.021883272227616647,0.0005455291467789767,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,23,3,0.008174000610053366,0.00010498179472211635,0.06191574125554952,0.025343894109371858,8.03798716812127e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,23,4,0.007598623511409923,9.548917227346266e-05,0.058959337534698224,0.02629139949287497,7.753369955993794e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,23,5,0.006405950299708679,7.798472612850531e-05,0.053279388500801626,0.022989110728855608,0.00040123549745201405,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,23,6,0.009612029021866067,0.00013255254016802115,0.07039998898341655,0.025248462336903955,1.2558689108650714e-17,0.027777777777777776
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,8,8,88,88,11,23,7,0.0018454442407162546,1.5503478100632476e-05,0.024685494636179008,0.01512034790408504,4.0277402421314127e-19,0.6666666666666666
